fullname,head,ogrn,class
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР КОМПЛЕКСНОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ""",ЦЕНТР КОМПЛЕКСНОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ,1152700000012,3
"СОЮЗ ОРГАНИЗАЦИЙ ПРОФСОЮЗОВ ""ФЕДЕРАЦИЯ ПРОФСОЮЗОВ БРЯНСКОЙ ОБЛАСТИ""",ФЕДЕРАЦИЯ ПРОФСОЮЗОВ БРЯНСКОЙ ОБЛАСТИ,1023202735577,4
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОГО ОБЩЕСТВЕННОГО САМОУПРАВЛЕНИЯ ""ЮЖНОЕ-05""","МОО ТОС ""ЮЖНОЕ-05""",1093400006237,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СОЮЗ КОМПОЗИТОРОВ РЕСПУБЛИКИ ХАКАСИЯ""","РОО ""СК РХ""",1021900004390,6
"РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ НАСТОЛЬНОГО ТЕННИСА РЕСПУБЛИКИ КОМИ""","РФСОО ""ФНТ РК""",1181101001058,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КЛУБ СПОРТИВНЫХ ЕДИНОБОРСТВ ""ОТЕЧЕСТВО - ПСКОВСКАЯ ОБЛАСТЬ""","АНО ""КЛУБ СПОРТИВНЫХ ЕДИНОБОРСТВ ""ОТЕЧЕСТВО - ПСКОВСКАЯ ОБЛАСТЬ""",1186000000339,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНФОРМАЦИОННО-КУЛЬТУРНЫЙ ЦЕНТР УРАЛО-ЯПОНСКИХ СВЯЗЕЙ ""РАКУДА"" (ВЕРБЛЮД)","АНО ИКЦ ""РАКУДА""",1187400001887,4
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНО-КУЛЬТУРНАЯ АВТОНОМИЯ МОЛДАВАН ГОРОДА ТЮМЕНИ ""АС-МОЛДОВА""",НКА АС-МОЛДОВА,1187232018511,10
"САХАЛИНСКАЯ РЕГИОНАЛЬНАЯ СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КАЗАЧИЙ КОННО-СПОРТИВНЫЙ КЛУБ ""СТАНИЦА""","СРСОО ""КККС""",1186500000521,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ЗАЩИТЫ СЕМЬИ, МАТЕРИНСТВА, ДЕТСТВА И ГРАЖДАНСКОГО БЛАГОПОЛУЧИЯ ""СПАСИ ЖИЗНЬ""","АНО ""СПАСИ ЖИЗНЬ""",1194200001203,3
"КРЫМСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ АКТИВНЫХ ВИДОВ СПОРТА, ДОСУГА И ОТДЫХА ""ФРИРАЙТ""","КРОО ""ФРИРАЙТ""",1159102054165,2
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""РУССКАЯ АССОЦИАЦИЯ ЧТЕНИЯ""","МОО ""РАЧ""",1047746006395,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СЕМЕЙНОЙ ТЕРАПИИ И КОНСУЛЬТИРОВАНИЯ""","АНО ""ЦЕНТР СЕМЕЙНОЙ ТЕРАПИИ И КОНСУЛЬТИРОВАНИЯ""",1026601376933,3
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""НОВО БРОДОВСКИЙ"" СВЕРДЛОВСКОГО РАЙОНА ГОРОДА ПЕРМИ","МОО ТОС ""НОВО БРОДОВСКИЙ""",1025900900629,7
"КУРГАНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ФИЗКУЛЬТУРНО-СПОРТИВНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКАЯ ФЕДЕРАЦИЯ САМБО""","КРО ОФ-СОО ""ВФС""",1024500003846,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ КОННОГО СПОРТА В НЕНЕЦКОМ АВТОНОМНОМ ОКРУГЕ ""ФОРТУНА""","РОО СОДЕЙСТВИЯ РАЗВИТИЮ КОННОГО СПОРТА В НАО ""ФОРТУНА""",1172901002614,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ПРИМИРЕНИЯ И ПРАВА ""СОГЛАСИЕ""","АНО ЦЕНТР ПРИМИРЕНИЯ И ПРАВА ""СОГЛАСИЕ""",1180280043459,3
"ВОЛГОГРАДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ РЕМЕСЛЕННАЯ МАСТЕРСКАЯ ""ТВОРЧЕСКИЙ ПОСАДЪ""","ВРООРМ ""ТВОРЧЕСКИЙ ПОСАДЪ""",1193443010639,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ПЛАТФОРМА ОБРАЗОВАТЕЛЬНЫХ ПРОЕКТОВ""","АНО ""ПЛАТФОРМА ОБРАЗОВАТЕЛЬНЫХ ПРОЕКТОВ""",1195958000424,12
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КОНСУЛЬТАЦИОННЫЙ ЦЕНТР РАЗВИТИЕ""","АНО ""РАЗВИТИЕ""",1177901001068,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ РУССКОЙ НАРОДНОЙ КУЛЬТУРЫ ""ДОБРОВИДЕНИЕ""","АНО ""ДОБРОВИДЕНИЕ""",1187800003720,6
"ХАБАРОВСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКИЙ ЦЕНТР ""МИР ГОВОРЯЩИХ МАШИН""",,1182724025395,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПОМОЩИ ЛЮДЯМ (В ТОМ ЧИСЛЕ ДЕТЯМ) С РАССТРОЙСТВОМ АУТИСТИЧЕСКОГО СПЕКТРА ""АУТИЗМПОБЕДИМ""","АНО ""АУТИЗМПОБЕДИМ""",1195300000170,3
"ТАМБОВСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ БЛАГОТВОРИТЕЛЬНОЙ ОРГАНИЗАЦИИ ""СОЮЗ СЕМЕЙ ВОЕННОСЛУЖАЩИХ РОССИИ""","ТРО ""СОЮЗ СЕМЕЙ ВОЕННОСЛУЖАЩИХ РОССИИ""",1096800000978,3
"МЕСТНАЯ ДРЕВЛЕПРАВОСЛАВНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРИХОД В ЧЕСТЬ СВЯТИТЕЛЯ ХРИСТОВА НИКОЛЫ ЧУДОТВОРЦА С. НИКОЛЬСК МУХОРШИБИРСКОГО РАЙОНА РЕСПУБЛИКИ БУРЯТИЯ РУССКОЙ ДРЕВЛЕПРАВОСЛАВНОЙ ЦЕРКВИ (ДРЕВЛЕПРАВОСЛАВНОЙ АРХИЕПИСКОПИИ НОВОЗЫБКОВСКОЙ, МОСКОВСКОЙ И ВСЕЯ РУСИ)",,1130327017523,7
ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ - ВОЛГОГРАДСКАЯ РЕГИОНАЛЬНАЯ АССОЦИАЦИЯ СТОМАТОЛОГОВ,,1023400013317,5
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОМОЩИ ПАЦИЕНТАМ С ЗАБОЛЕВАНИЕМ ФИБРОДИСПЛАЗИЯ ОССИФИЦИРУЮЩАЯ ПРОГРЕССИРУЮЩАЯ ""ЖИВУЩИЕ С ФОП""","МОО ""ЖИВУЩИЕ С ФОП""",1147799007620,1
"ОРЕНБУРГСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТАТАРСКАЯ НАЦИОНАЛЬНО-КУЛЬТУРНАЯ АВТОНОМИЯ ""ТУГАН ТЕЛ""","ОГОО ТНКА ""ТУГАН ТЕЛ""",1135658025250,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СУДЕБНЫХ ЛИНГВОКРИМИНАЛИСТИЧЕСКИХ ЭКСПЕРТИЗ И ГУМАНИТАРНО-ПРИКЛАДНЫХ ИССЛЕДОВАНИЙ ""ЛИНГВОСУДЭКСПЕРТ""","АНО ""ЦСЛЭГИ ""ЛИНГВОСУДЭКСПЕРТ""",1156100001617,3
"ТЕРРИТОРИАЛЬНО-СОСЕДСКАЯ ОБЩИНА КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА ""ЗЕМЛЯ ПРЕДКОВ""","ТСО КМНС ""ЗЕМЛЯ ПРЕДКОВ""",1162700051315,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНОЙ ПОМОЩИ ""КРАСНОБОРСКАЯ ДУБРАВА""","АНО ""ЦЕНТР СОЦИАЛЬНОЙ ПОМОЩИ ""КРАСНОБОРСКАЯ ДУБРАВА""",1181690055370,1
НАЗЫВАЕВСКОЕ РАЙОННОЕ ОТДЕЛЕНИЕ ОМСКОЙ ОБЛАСТНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ВЕТЕРАНОВ (ПЕНСИОНЕРОВ),НРОООООВП,1035500008246,1
"ФОНД ПОДДЕРЖКИ ДЕТЕЙ И МОЛОДЕЖИ ""НОВОЕ ПОКОЛЕНИЕ""","ФОНД ""НОВОЕ ПОКОЛЕНИЕ""",1196500000476,3
"ЧЕЛЯБИНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""РОССИЙСКИЙ СОЮЗ СПАСАТЕЛЕЙ""","ЧРО ООО ""РОССОЮЗСПАС"" ЧЕЛЯБИНСКОЕ РО РОССОЮЗСПАС",1157400000559,12
"АССОЦИАЦИЯ ""ТВОРЧЕСКИЙ СОЮЗ КАМНЕРЕЗОВ И ЮВЕЛИРОВ БАЙКАЛЬСКОГО РЕГИОНА""","""СОЮЗ КАМНЕРЕЗОВ И ЮВЕЛИРОВ""",1163850072165,6
"САНКТ-ПЕТЕРБУРГСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОДДЕРЖКИ ВЕТЕРАНОВ И ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ ""ПОЛЯРНЫЙ КОНВОЙ""","СПБ РОО ""ПОЛЯРНЫЙ КОНВОЙ""",1037858009309,7
"ОРЛОВСКАЯ РАЙОННАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ РОСТОВСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""",ОРО РОО ВОИ,1026100008406,2
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД СВЯТО-ВОЗНЕСЕНСКОГО ХРАМА ПЛАСТОВСКОГО РАЙОНА СЕЛА КОЧКАРЬ ТРОИЦКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1027400002453,1
"МАГАДАНСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЗДОРОВОГО ОБРАЗА ЖИЗНИ ""НАЧНИ С СЕБЯ""","МРОО ЗОЖ ""НАЧНИ С СЕБЯ""",1144900000035,2
"АССОЦИАЦИЯ РАЗВИТИЯ ИСТОРИЧЕСКИХ ПОСЕЛЕНИЙ ""РУССКАЯ ПРОВИНЦИЯ""","АССОЦИАЦИЯ ""РУССКАЯ ПРОВИНЦИЯ""",1173300000060,6
"ГУБКИНСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ""ВОЗМОЖНОСТИ БЕЗ ГРАНИЦ""","ГООИ ""ВОЗМОЖНОСТИ БЕЗ ГРАНИЦ""",1118900001197,1
"ФОНД СОДЕЙСТВИЯ И ПОДДЕРЖКИ ВЕТЕРАНОВ СПЕЦСЛУЖБ И СИЛОВЫХ ВЕДОМСТВ ""ОФИЦЕРЫ ЮЖНОГО УРАЛА""","ФОНД ""ОФИЦЕРЫ ЮЖНОГО УРАЛА""",1187400002316,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ОБЩЕСТВО ЗАЩИТЫ ЖИВОТНЫХ ""ВОЛЬНЫЕ КОНИ""","АНО ""ОБЩЕСТВО ЗАЩИТЫ ЖИВОТНЫХ ""ВОЛЬНЫЕ КОНИ""",1177627021417,9
"МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА В ЧЕСТЬ ИКОНЫ БОЖИЕЙ МАТЕРИ ""КАЗАНСКАЯ"" Г. СЕВЕРОБАЙКАЛЬСК РЕСПУБЛИКИ БУРЯТИЯ СЕВЕРОБАЙКАЛЬСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)",,1020300001260,3
"ПОМОРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ БЛАГОТВОРИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""ВРЕМЯ ДОБРА""","ПРОБО ""ВРЕМЯ ДОБРА""",1142900000132,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ПРИЗВАНИЕ""","АНО ДПО ""ПРИЗВАНИЕ""",1195476032894,3
"МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА ВО ИМЯ СВТ. НИКОЛАЯ ЧУДОТВОРЦА Г. ВОРОНЕЖА РЕЛИГИОЗНОЙ ОРГАНИЗАЦИИ ""ВОРОНЕЖСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""",,1033692004257,1
"ФОНД ПОМОЩИ ЖИВОТНЫМ ""ЛАПА ДРУЖБЫ""","ФОНД ""ЛАПА ДРУЖБЫ""",1177700011631,9
"ПРИМОРСКОЕ КРАЕВОЕ ОТДЕЛЕНИЕ ВСЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ВЕТЕРАНОВ ""БОЕВОЕ БРАТСТВО""","ПКО ВООВ ""БОЕВОЕ БРАТСТВО""",1062500014279,7
ОМСКИЙ РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД РАЗВИТИЯ РУССКОЙ КУЛЬТУРЫ ИМЕНИ П.А. СТОЛЫПИНА,ОРОФ РАЗВИТИЯ РУССКОЙ КУЛЬТУРЫ ИМЕНИ П.А. СТОЛЫПИНА,1115500002221,6
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ АЗЕРБАЙДЖАНСКОЙ ДИАСПОРЫ Г. ВОЛЖСКОГО ""ДОСТЛУГ-ДРУЖБА""","ООАДВ ""ДОСТЛУГ-ДРУЖБА""",1183443011982,10
"ОМСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ РАЗВИТИЯ И ПОДДЕРЖКИ ИНСТИТУТА СЕМЬИ ""СЕМЕЙНЫЙ ОЧАГ""","ОРОО РПИС ""СЕМЕЙНЫЙ ОЧАГ""",1165543094408,3
"ЯКУТСКОЕ РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ПО ПРОПАГАНДЕ ЗДОРОВОГО ОБРАЗА ЖИЗНИ ""ТРЕЗВАЯ ЯКУТИЯ""","ЯКУТСКОЕ РОД ПО ПРОПАГАНДЕ ЗОЖ ""ТРЕЗВАЯ ЯКУТИЯ""",1181447014253,1
МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНОЕ СЕСТРИЧЕСТВО СВЯТЫХ ПРЕПОДОБНОМУЧЕНИЦ ВЕЛИКОЙ КНЯГИНИ ЕЛИСАВЕТЫ И ИНОКИНИ ВАРВАРЫ ПРИ ПРИХОДЕ ХРАМА ПОКРОВА ПРЕСВЯТОЙ БОГОРОДИЦЫ Г. НОВОКУЗНЕЦКА КЕМЕРОВСКОЙ ОБЛАСТИ НОВОКУЗНЕЦКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1034200010569,5
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ПСКОВСКИЙ МОЛОДЕЖНЫЙ ЦЕНТР""","РОО ""ПСКОВСКИЙ МОЛОДЕЖНЫЙ ЦЕНТР""",1186000000086,6
"БЕЛОРЕЦКАЯ ГОРОДСКАЯ И РАЙОННАЯ ОРГАНИЗАЦИЯ БАШКИРСКОЙ РЕСПУБЛИКАНСКОЙ ОРГАНИЗАЦИИ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ИНВАЛИДОВ""",,1030200005758,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПРЕДОСТАВЛЕНИЯ УСЛУГ В СФЕРАХ ЭКОЛОГИИ И ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ ""ЭКОЛОГИЧЕСКИЕ ДОБРОВОЛЬЧЕСКИЕ ПРОЕКТЫ""","АНО ""ЭКОЛОГИЧЕСКИЕ ДОБРОВОЛЬЧЕСКИЕ ПРОЕКТЫ""",1197800003280,9
"АССОЦИАЦИЯ ТВОРЧЕСКИХ МАСТЕРСКИХ ""ГОРЧИЦА""","АССОЦИАЦИЯ ТМ ""ГОРЧИЦА""",1145476107644,13
"ОБЩЕРОССИЙСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""РОССИЙСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ СПЕЦСЛУЖБАМ И ПРАВООХРАНИТЕЛЬНЫМ ОРГАНАМ""",РОССПО,1037739769539,7
"НОВОСИБИРСКОЕ ОБЛАСТНОЕ ОТДЕЛЕНИЕ ВСЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ВСЕРОССИЙСКОЕ ОБЩЕСТВО ОХРАНЫ ПАМЯТНИКОВ ИСТОРИИ И КУЛЬТУРЫ""",НОО ВООПИИК,1165476142556,7
"ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ТРОИЦА""","ТОС ""ТРОИЦА""",1125900000236,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ЗООЗАЩИТНАЯ ОРГАНИЗАЦИЯ ""СОБАЧИЙ ПАТРУЛЬ""","АНЗО ""СОБАЧИЙ ПАТРУЛЬ""",1176100000064,9
"АМУРСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""РОССИЙСКИЙ КРАСНЫЙ КРЕСТ""","АРО ООО ""РОССИЙСКИЙ КРАСНЫЙ КРЕСТ"", РКК",1142800000144,1
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ ЖИВОТНЫМ ""ОБЩИЙ МИР""","БФПЖ ""ОБЩИЙ МИР""",1175543019497,9
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КАМЕРНЫЙ ТЕАТР ""ТАГАНРОГСКИЙ КАМЕРНЫЙ ТЕАТР""","АНО ""ТАКТ""",1196196008315,6
"САРАТОВСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ РАЗВИТИЯ ОБЩЕСТВЕННОГО ВЗАИМОДЕЙСТВИЯ В ЗАЩИТУ ПРАВ И ИНТЕРЕСОВ УЯЗВИМЫХ ГРУПП НАСЕЛЕНИЯ ""ВОЛГАИНФО ПЛЮС""","СРОО ""ВОЛГАИНФО ПЛЮС""",1176451031239,2
"САХАЛИНСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""САХАЛИНСКАЯ ФЕДЕРАЦИЯ ""КИКБОКСИНГА И ТАЙСКОГО БОКСА""","СРОО ""САХАЛИНСКАЯ ФЕДЕРАЦИЯ ""КИКБОКСИНГА И ТАЙСКОГО БОКСА""",1066500003900,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ МОТИВАЦИИ И СОТРУДНИЧЕСТВА""","АНО ДПО ""АКАДЕМИЯ МОТИВАЦИИ И СОТРУДНИЧЕСТВА""",1187800005084,3
"КРАСНОЯРСКАЯ МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОМОЩИ ДЕТЯМ, СТРАДАЮЩИМ РАССТРОЙСТВАМИ АУТИСТИЧЕСКОГО СПЕКТРА ""КОНТАКТ""","КМООПДСРАС ""КОНТАКТ""",1142468058688,2
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ СПОРТИВНОЙ АЭРОБИКИ И ФИТНЕСА ГОРОДА НЯГАНИ""","МОО ""ФЕДЕРАЦИЯ СПОРТИВНОЙ АЭРОБИКИ И ФИТНЕСА ГОРОДА НЯГАНИ""",1188600001040,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ РАЗВИТИЕ ДВИЖЕНИЯ ""КЛУБ ВЕСЕЛЫХ И НАХОДЧИВЫХ ГОРОДА НЕФТЕКАМСК""","АНО РД ""КВН ГОРОДА НЕФТЕКАМСК""",1190280029125,1
АССОЦИАЦИЯ СОЦИОКУЛЬТУРНОГО ПРОЕКТИРОВАНИЯ ПЕРМСКОГО КРАЯ,АСП ПЕРМСКОГО КРАЯ,1025900536782,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ПОДДЕРЖКИ И РАЗВИТИЯ НАУКИ, ОБРАЗОВАНИЯ, ИСТОРИИ И КУЛЬТУРЫ ""ПРООТЕЧЕСТВО""","АНО ""ПРООТЕЧЕСТВО""",1147799013592,7
"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""БАШКИРСКИЙ МЕЖОТРАСЛЕВОЙ ИНСТИТУТ ОХРАНЫ ТРУДА, ЭКОЛОГИИ И БЕЗОПАСНОСТИ НА ПРОИЗВОДСТВЕ""","ЧОУ ""МЕЖОТРАСЛЕВОЙ ИНСТИТУТ""",1020203223831,5
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ АВИАЦИИ ОБЩЕГО НАЗНАЧЕНИЯ ""АЭРОДРОМ МОЧИЩЕ""","РОО ""АЭРОДРОМ МОЧИЩЕ""",1065400013425,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОСУГОВО-СПОРТИВНЫЙ ЦЕНТР ""АВАНГАРД""","АНО ""АВАНГАРД""",1147799006805,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЦЕНТР ИНКЛЮЗИВНОГО ОБРАЗОВАНИЯ""","АНО ДО ""ЦЕНТР ИНКЛЮЗИВНОГО ОБРАЗОВАНИЯ""",1176600002270,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""АКАДЕМИЯ ПРОФЕССИОНАЛЬНЫХ СТАНДАРТОВ""","АНО ДПО ""АПС""",1175000003221,5
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ В СФЕРЕ РАЗВИТИЯ МЕДИЦИНЫ ""ОБЩЕСТВО ГАСТРОЭНТЕРОЛОГОВ И ГЕПАТОЛОГОВ ""СЕВЕРО-ЗАПАД""","МОО ""ОГИГ ""С-З""",1177700003227,12
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ЭКОЛОГИЧЕСКОГО РАЗВИТИЯ ""ИСТОК""","АНО ""ЦЭР ""ИСТОК""",1178600000699,9
ОБЩЕСТВЕННАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ ВЕТЕРАНОВ АФГАНИСТАНА ГОРОДА ЗВЕРЕВО,ОГОВА Г.ЗВЕРЕВО,1026100006525,7
"АЛТАЙСКАЯ КРАЕВАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""РАЗВИТИЕ СОЦИАЛЬНЫХ ПРОЕКТОВ""","АКОО ""РСП""",1172225005996,5
